Area served,Airport name,IATA,ICAO,Airport type,Operational,Owned/operated by,State,Scheme Covered,Latitude,Longitude,Demand Type,Airport Category,2022,2023,2024,2025,Per Capita Income
Tiruchirappalli,Tiruchirappalli International Airport,TRZ,VOTR,International,Yes,AAI,Tamil Nadu,Krishi-Udan,10.762915,78.717741, Pilgrimage,Mini Hub,556707.0,1514260.0,1763942.0,1956851.0,361619.0
Begumpet,Begumpet Airport,BPM,VOHY,Domestic,Yes,State Government,Telangana,,17.4531,78.467598,,,,,,0.0,387623.0
Hyderabad,Rajiv Gandhi International Airport,HYD,VOHS,International,Yes,GMR group,Telangana,,17.231318,78.429855,,,3133.0,1938.0,8064.0,15840.0,387623.0
Agartala,Maharaja Bir Bikram Airport,IXA,VEAT,Customs,Yes,AAI,Tripura,Krishi-Udan,23.886999,91.240402, Leisure,Mini Hub,901206.0,1386087.0,0.0,0.0,192842.0
Agra,Agra Airport,AGR,VIAG,Domestic (CE),Yes,MoD and AAI,Uttar Pradesh,RCS-UDAN & Krishi-Udan,27.157975,77.961025,,,72831.0,131643.0,182958.0,168362.0,108572.0
Aligarh,Aligarh Airport,HRH,VIAH,Domestic,Yes,AAI and State Government,Uttar Pradesh,RCS-UDAN,27.861437,78.145404,,,0.0,0.0,0.0,1239.0,108572.0
Ayodhya,Maharishi Valmiki International Airport[11],AYJ,VEAY,International,Yes,AAI,Uttar Pradesh,,26.747736,82.163664,,,0.0,0.0,213015.0,1115016.0,108572.0
Azamgarh,Azamgarh Airport,NAN,VEAH,Domestic,Yes,AAI and State Government,Uttar Pradesh,RCS-UDAN,0.0,0.0,,,0.0,0.0,0.0,956.0,108572.0
Bareilly,Bareilly Airport,BEK,VIBY,Domestic (CE),Yes,MoD and AAI,Uttar Pradesh,RCS-UDAN & Krishi-Udan,28.4221,79.450798,,,103667.0,142102.0,128566.0,121746.0,108572.0
Gorakhpur,Gorakhpur Airport,GOP,VEGK,Domestic (CE),Yes,MoD and AAI,Uttar Pradesh,Krishi-Udan,26.7397003174,83.4496994019, Pilgrimage,Mini Hub,602820.0,717819.0,680203.0,867994.0,108572.0
Kanpur,Kanpur Airport,KNU,VIKA,Domestic (CE),Yes,MoD and AAI,Uttar Pradesh,RCS-UDAN & Krishi-Udan,26.404301,80.410103, Industrial,Mini Hub,175268.0,254903.0,284314.0,322252.0,108572.0
